Address_x,Eircode,ifsc_distance_km,ifsc_duration_min,ifsc_distance_m,ifsc_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"50 Roebuck Castle, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14V406,7.737,27.533333333333335,7737,1652,Terrace,3,1,81.0 m²,C1,—,06/01/2025,"€625,000","€715,000","50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",06/01/2025,"50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½715,000.00",No,No,Second-Hand Dwelling house /Apartment,
"17 Westhaven, Clonsilla, Dublin 15, Dublin 15, Dublin",D15EK6X,14.809,49.46666666666667,14809,2968,Semi-D,3,2,87.0 m²,C3,—,06/01/2025,"€330,000","€386,000","17 WESTHAVEN, CLONSILLA, DUBLIN 15",06/01/2025,"17 WESTHAVEN, CLONSILLA, DUBLIN 15",Dublin,"ï¿½386,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Albert Place East, Lower Grand Canal Street, Dublin 2, Dublin 2, Dublin",D02PF38,1.622,7.5,1622,450,Terrace,3,4,137.0 m²,B2,—,06/01/2025,"€895,000","€1,005,000","13 ALBERT PLACE EAST, LOWER GRAND CANAL STREET, DUBLIN 2",06/01/2025,"13 ALBERT PLACE EAST, LOWER GRAND CANAL STREET, DUBLIN 2",Dublin,"ï¿½1,005,000.00",No,No,Second-Hand Dwelling house /Apartment,
"19 Pembroke Lane, Pembroke St Lower, Dublin 2, Dublin 2, Dublin",D02C5F6,2.27,11.633333333333333,2270,698,Terrace,3,2,92.0 m²,F,—,06/01/2025,"€599,000","€602,000","19 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2",06/01/2025,"19 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2",Dublin,"ï¿½602,000.00",No,No,Second-Hand Dwelling house /Apartment,
"32 Oranmore Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",D10E195,9.084,31.016666666666666,9084,1861,End of Terrace,2,1,72.0 m²,—,—,06/01/2025,"€260,000","€273,000","32 ORANMORE RD, BALLYFERMOT, DUBLIN 10",06/01/2025,"32 ORANMORE RD, BALLYFERMOT, DUBLIN 10",Dublin,"ï¿½273,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 The Terrace, Carrickmines Manor, Dublin 18, Dublin 18, Dublin",D18T274,15.061,49.11666666666667,15061,2947,Terrace,3,3,104.0 m²,C1,—,06/01/2025,"€500,000","€535,000","22 THE TERRACE, CARRICKMINES MANOR, DUBLIN 18",06/01/2025,"22 THE TERRACE, CARRICKMINES MANOR, DUBLIN 18",Dublin,"ï¿½535,000.00",No,No,Second-Hand Dwelling house /Apartment,
"100 The Oval, Tullyvale, Cabinteely Dublin 18, Dublin 18, Dublin",D18AV66,15.665,52.916666666666664,15665,3175,Apartment,3,2,95.0 m²,C2,—,06/01/2025,"€395,000","€425,500","100 THE OVAL, TULLYVALE, CABINTEELY DUBLIN 18",06/01/2025,"100 THE OVAL, TULLYVALE, CABINTEELY DUBLIN 18",Dublin,"ï¿½425,500.00",No,No,Second-Hand Dwelling house /Apartment,
"81 Pinewood Crescent, Glasnevin North, Dublin 11, Dublin",D11KC53,7.214,23.616666666666667,7214,1417,Semi-D,3,1,105.0 m²,E1,—,06/01/2025,"€490,000","€590,000","81 PINEWOOD CRESCENT, GLASNEVIN NORTH, DUBLIN 11",06/01/2025,"81 PINEWOOD CRESCENT, GLASNEVIN NORTH, DUBLIN 11",Dublin,"ï¿½590,000.00",No,No,Second-Hand Dwelling house /Apartment,
"30 Parknasilla Rise, Loughlistown, Co Dublin, Dublin 18, Dublin",D18T224,16.125,55.983333333333334,16125,3359,Semi-D,3,2,90.0 m²,C2,—,06/01/2025,"€549,950","€600,000","30 PARKNASILLA RISE, LOUGHLISTOWN, CO DUBLIN",06/01/2025,"30 PARKNASILLA RISE, LOUGHLISTOWN, CO DUBLIN",Dublin,"ï¿½600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"7 Eaton Court, Terenure Rd North, Terenure Dublin 6w, Dublin",D6WA368,5.599,22.65,5599,1359,Apartment,2,1,51.7 m²,D2,—,06/01/2025,"€375,000","€400,000","7 EATON COURT, TERENURE RD NORTH, TERENURE DUBLIN 6W",06/01/2025,"7 EATON COURT, TERENURE RD NORTH, TERENURE DUBLIN 6W",Dublin,"ï¿½400,000.00",No,No,Second-Hand Dwelling house /Apartment,
"25 Fosterbrook, Booterstown, Blackrock, Dublin",A94WC94,7.173,27.766666666666666,7173,1666,Semi-D,4,3,117.0 m²,C3,—,06/01/2025,"€795,000","€940,000","25 FOSTERBROOK, BOOTERSTOWN, BLACKROCK",06/01/2025,"25 FOSTERBROOK, BOOTERSTOWN, BLACKROCK",Dublin,"ï¿½940,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Strasburg Terrace, Irishtown, Dublin 4, Dublin 4, Dublin",D04HA29,2.745,11.016666666666667,2745,661,Terrace,4,1,122.0 m²,E2,—,06/01/2025,"€690,000","€750,000","3 STRASBURG TERRACE, IRISHTOWN, DUBLIN 4",06/01/2025,"3 STRASBURG TERRACE, IRISHTOWN, DUBLIN 4",Dublin,"ï¿½750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"12 Portersgate Way, Clonsilla, Dublin 15, Dublin 15, Dublin",D15W8YC,14.735,47.88333333333333,14735,2873,Semi-D,4,3,107.0 m²,C1,—,06/01/2025,"€470,000","€535,000","12 PORTERSGATE WAY, CLONSILLA, DUBLIN 15",06/01/2025,"12 PORTERSGATE WAY, CLONSILLA, DUBLIN 15",Dublin,"ï¿½535,000.00",No,No,Second-Hand Dwelling house /Apartment,
"93 Hanover Riverside, Sir John Rogersons Quay, Riverside Dublin 2, Dublin 2, Dublin",D02DA27,1.093,4.816666666666666,1093,289,Apartment,2,2,85.0 m²,B3,—,06/01/2025,"€540,000","€546,000","93 HANOVER RIVERSIDE, SIR JOHN ROGERSONS QUAY, RIVERSIDE DUBLIN 2",06/01/2025,"93 HANOVER RIVERSIDE, SIR JOHN ROGERSONS QUAY, RIVERSIDE DUBLIN 2",Dublin,"ï¿½546,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Belgrove Park, Chapelizod, Dublin 20, Dublin 20, Dublin",D20CK84,7.387,26.483333333333334,7387,1589,Semi-D,3,2,109.0 m²,F,—,07/01/2025,"€560,000","€530,000","4 BELGROVE PARK, CHAPELIZOD, DUBLIN 20",07/01/2025,"4 BELGROVE PARK, CHAPELIZOD, DUBLIN 20",Dublin,"ï¿½530,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 15 Le Hunt House, Brennanstown, Dublin 18, Dublin",,15.437,50.0,15437,3000,Apartment,2,2,76.0 m²,B3,—,07/01/2025,"€405,000","€405,000","APT 15 LE HUNT HOUSE, BRENNANSTOWN, DUBLIN 18",07/01/2025,"APT 15 LE HUNT HOUSE, BRENNANSTOWN, DUBLIN 18",Dublin,"ï¿½405,000.00",No,No,Second-Hand Dwelling house /Apartment,
"34 Templecourtnorthwoo, Santry, Dublin 9, Dublin 9, Dublin",D09FD45,8.885,29.15,8885,1749,Apartment,2,2,64.0 m²,—,—,07/01/2025,"€295,000","€339,000","34 TEMPLECOURTNORTHWOO, SANTRY, DUBLIN 9",07/01/2025,"34 TEMPLECOURTNORTHWOO, SANTRY, DUBLIN 9",Dublin,"ï¿½339,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Rosemount Court, Inchicore Rd, Kilmainham Dublin 8, Dublin 8, Dublin",D08T858,5.247,22.083333333333332,5247,1325,Apartment,1,1,37.2 m²,C3,—,07/01/2025,"€260,000","€313,000","1 ROSEMOUNT COURT, INCHICORE RD, KILMAINHAM DUBLIN 8",07/01/2025,"1 ROSEMOUNT COURT, INCHICORE RD, KILMAINHAM DUBLIN 8",Dublin,"ï¿½313,000.00",No,No,Second-Hand Dwelling house /Apartment,
"65 The Lighthouse Apts, Church Rd East Wall, Dublin 3, Dublin 3, Dublin",D03P592,2.242,7.483333333333333,2242,449,Apartment,2,2,71.0 m²,B2,—,07/01/2025,"€375,000","€410,000","65 THE LIGHTHOUSE APTS, CHURCH RD EAST WALL, DUBLIN 3",07/01/2025,"65 THE LIGHTHOUSE APTS, CHURCH RD EAST WALL, DUBLIN 3",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"73 Barton Rd East, Churchtown, Dublin 14, Dublin 14, Dublin",D14E0Y7,9.493,33.05,9493,1983,Semi-D,3,2,109.0 m²,E1,—,07/01/2025,"€699,000","€744,000","73 BARTON RD EAST, CHURCHTOWN, DUBLIN 14",07/01/2025,"73 BARTON RD EAST, CHURCHTOWN, DUBLIN 14",Dublin,"ï¿½744,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Glendarragh, 70 Merrion Rd, Ballsbridge Dublin 4, Dublin 4, Dublin",D04A2P9,4.039,15.166666666666666,4039,910,Semi-D,4,3,201.0 m²,E1,—,07/01/2025,"€1,550,000","€1,750,000","GLENDARRAGH, 70 MERRION RD, BALLSBRIDGE DUBLIN 4",07/01/2025,"GLENDARRAGH, 70 MERRION RD, BALLSBRIDGE DUBLIN 4",Dublin,"ï¿½1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"32 Glenwood Rd, Cameron Park, Dublin 5, Dublin 5, Dublin",D05Y9C3,6.893,22.033333333333335,6893,1322,Semi-D,3,1,95.0 m²,C2,—,07/01/2025,"€480,000","€530,000","32 GLENWOOD RD, CAMERON PARK, DUBLIN 5",07/01/2025,"32 GLENWOOD RD, CAMERON PARK, DUBLIN 5",Dublin,"ï¿½530,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Ballyowen Hall, Lucan, Dublin, Dublin",K78TX67,12.677,42.95,12677,2577,Apartment,2,2,61.0 m²,C2,—,07/01/2025,"€260,000","€314,000","15 BALLYOWEN HALL, LUCAN, DUBLIN",07/01/2025,"15 BALLYOWEN HALL, LUCAN, DUBLIN",Dublin,"ï¿½314,000.00",No,No,Second-Hand Dwelling house /Apartment,
"60 Larkhill Rd, Whitehall, Dublin 9, Dublin 9, Dublin",D09RR50,5.148,18.133333333333333,5148,1088,Terrace,3,2,85.8 m²,D1,—,07/01/2025,"€425,000","€452,000","60 LARKHILL RD, WHITEHALL, DUBLIN 9",07/01/2025,"60 LARKHILL RD, WHITEHALL, DUBLIN 9",Dublin,"ï¿½452,000.00",No,No,Second-Hand Dwelling house /Apartment,
"63 Baltrasna House, Spencer Dock, Dublin 1, Dublin 1, Dublin",D01R275,1.106,5.35,1106,321,Apartment,2,2,72.0 m²,—,—,07/01/2025,"€425,000","€410,000","63 BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",07/01/2025,"63 BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"51 Castle Grove, Kilgobbin Wood, Sandyford Dublin 18, Dublin 18, Dublin",D18V122,12.33,40.46666666666667,12330,2428,Semi-D,5,4,166.0 m²,C2,—,07/01/2025,"€750,000","€750,000","51 CASTLE GROVE, KILGOBBIN WOOD, SANDYFORD DUBLIN 18",07/01/2025,"51 CASTLE GROVE, KILGOBBIN WOOD, SANDYFORD DUBLIN 18",Dublin,"ï¿½750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Gledswood Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14TF66,6.11,22.983333333333334,6110,1379,Semi-D,4,2,140.0 m²,B3,—,07/01/2025,"€975,000","€1,000,000","13 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",07/01/2025,"13 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 Grangeview Place, Clondalkin, Dublin 22, Dublin 22, Dublin",D22VW73,14.522,47.5,14522,2850,Apartment,2,1,66.0 m²,D1,—,07/01/2025,"€260,000","€260,000","5 GRANGEVIEW PLACE, CLONDALKIN, DUBLIN 22",07/01/2025,"5 GRANGEVIEW PLACE, CLONDALKIN, DUBLIN 22",Dublin,"ï¿½260,000.00",No,No,Second-Hand Dwelling house /Apartment,
"85 Block A, Smithfield Market, Smithfield Dublin 7, Dublin 7, Dublin",D07WT72,2.601,10.5,2601,630,Apartment,1,1,59.0 m²,C1,—,07/01/2025,"€299,000","€346,000","85 BLOCK A, SMITHFIELD MARKET, SMITHFIELD DUBLIN 7",07/01/2025,"85 BLOCK A, SMITHFIELD MARKET, SMITHFIELD DUBLIN 7",Dublin,"ï¿½346,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 Cherry Garth, Mount Merrion, Dublin, Dublin",A94X2K0,8.432,29.616666666666667,8432,1777,Bungalow,4,1,132.0 m²,G,—,07/01/2025,"€975,000","€1,051,000","11 CHERRY GARTH, MOUNT MERRION, DUBLIN",07/01/2025,"11 CHERRY GARTH, MOUNT MERRION, DUBLIN",Dublin,"ï¿½1,051,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 59 Littlewood, Belarmine, Enniskerry Rd, Dublin 18, Dublin",D18FK23,12.452,39.81666666666667,12452,2389,Apartment,2,2,80.0 m²,B3,—,07/01/2025,"€410,000","€457,000","APT 59 LITTLEWOOD, BELARMINE, ENNISKERRY RD",07/01/2025,"APT 59 LITTLEWOOD, BELARMINE, ENNISKERRY RD",Dublin,"ï¿½457,000.00",No,No,Second-Hand Dwelling house /Apartment,
"8d Belfield Court, Donnybrook Dublin 4, Dublin, Dublin 4, Dublin",D04WV05,5.506,21.783333333333335,5506,1307,Apartment,1,1,46.0 m²,E2,—,08/01/2025,"€325,000","€350,000","8D BELFIELD COURT, DONNYBROOK DUBLIN 4, DUBLIN",08/01/2025,"8D BELFIELD COURT, DONNYBROOK DUBLIN 4, DUBLIN",Dublin,"ï¿½350,000.00",No,No,Second-Hand Dwelling house /Apartment,
"21 Beech Park Rd, Dublin 18, Dublin, Dublin 18, Dublin",D18A7X9,12.182,40.666666666666664,12182,2440,Detached,5,3,172.0 m²,E2,—,08/01/2025,"€895,000","€925,000","21 BEECH PARK RD, DUBLIN 18, DUBLIN",08/01/2025,"21 BEECH PARK RD, DUBLIN 18, DUBLIN",Dublin,"ï¿½925,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Puckoon, Newtown, Near Garristown, Dublin",A42K239,32.099,99.5,32099,5970,Detached,4,3,196.0 m²,B3,—,08/01/2025,"€700,000","€760,000","PUCKOON, NEWTOWN, NEAR GARRISTOWN",08/01/2025,"PUCKOON, NEWTOWN, NEAR GARRISTOWN",Dublin,"ï¿½760,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 Verschoyle Park Saggart Abbey, Saggart, Dublin, Dublin 24, Dublin",D24V963,17.8,58.5,17800,3510,Semi-D,3,2,111.0 m²,—,—,08/01/2025,"€350,000","€416,000","55 VERSCHOYLE PARK SAGGART ABBEY, SAGGART, DUBLIN",08/01/2025,"55 VERSCHOYLE PARK SAGGART ABBEY, SAGGART, DUBLIN",Dublin,"ï¿½416,000.00",No,No,Second-Hand Dwelling house /Apartment,
"14 Kirkpatrick House, Spencer Dock, I F S C Dublin 1, Dublin 1, Dublin",D01DK59,1.152,5.6,1152,336,Apartment,2,1,48.0 m²,C1,—,08/01/2025,"€340,000","€330,000","14 KIRKPATRICK HOUSE, SPENCER DOCK, I F S C DUBLIN 1",08/01/2025,"14 KIRKPATRICK HOUSE, SPENCER DOCK, I F S C DUBLIN 1",Dublin,"ï¿½330,000.00",No,No,Second-Hand Dwelling house /Apartment,
"47 Boden Heath Ballyboden, Dublin 16, Dublin, Dublin 16, Dublin",D16K704,11.054,40.18333333333333,11054,2411,Apartment,2,2,77.0 m²,C1,—,08/01/2025,"€380,000","€430,000","47 BODEN HEATH BALLYBODEN, DUBLIN 16, DUBLIN",08/01/2025,"47 BODEN HEATH BALLYBODEN, DUBLIN 16, DUBLIN",Dublin,"ï¿½430,000.00",No,No,Second-Hand Dwelling house /Apartment,
"66 Palmerstown Ave, Palmerstown, Dublin 20, Dublin 20, Dublin",D20NY57,9.251,31.266666666666666,9251,1876,Terrace,3,2,96.0 m²,C3,—,08/01/2025,"€385,000","€447,650","66 PALMERSTOWN AVE, PALMERSTOWN, DUBLIN 20",08/01/2025,"66 PALMERSTOWN AVE, PALMERSTOWN, DUBLIN 20",Dublin,"ï¿½447,650.00",No,No,Second-Hand Dwelling house /Apartment,
"12 Roebuck Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14CH98,7.226,25.333333333333332,7226,1520,Terrace,3,3,165.0 m²,B3,—,08/01/2025,"€850,000","€980,000","12 ROEBUCK PARK, CLONSKEAGH, DUBLIN 14",08/01/2025,"12 ROEBUCK PARK, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½980,000.00",No,No,Second-Hand Dwelling house /Apartment,
"127 Gracepark Manor, Drumcondra, Dublin 9, Dublin 9, Dublin",D09E446,4.364,14.8,4364,888,Apartment,3,2,97.0 m²,B3,—,08/01/2025,"€500,000","€500,000","127 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",08/01/2025,"127 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",Dublin,"ï¿½500,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apartment 16 Block 5, Gallery Quay, Grand Canal Dock, Dublin",D02W893,1.293,5.4,1293,324,Apartment,3,3,107.0 m²,C2,—,08/01/2025,"€545,000","€477,000","APARTMENT 16 BLOCK 5, GALLERY QUAY, GRAND CANAL DOCK",08/01/2025,"APARTMENT 16 BLOCK 5, GALLERY QUAY, GRAND CANAL DOCK",Dublin,"ï¿½477,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Riverwood Green, Castleknock, Dublin 15, Dublin 15, Dublin",D15N9C5,11.723,37.483333333333334,11723,2249,Semi-D,3,3,117.0 m²,C3,—,08/01/2025,"€550,000","€575,000","15 RIVERWOOD GREEN, CASTLEKNOCK, DUBLIN 15",08/01/2025,"15 RIVERWOOD GREEN, CASTLEKNOCK, DUBLIN 15",Dublin,"ï¿½575,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt D, 18 Warrington Place, Dublin 2, Dublin 2, Dublin",D02EP93,2.067,9.683333333333334,2067,581,Apartment,1,1,47.0 m²,—,—,08/01/2025,"€375,000","€402,200","APT D, 18 WARRINGTON PLACE, DUBLIN 2",08/01/2025,"APT D, 18 WARRINGTON PLACE, DUBLIN 2",Dublin,"ï¿½402,200.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Roebuck Rd, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14WN26,7.244,25.85,7244,1551,Semi-D,3,1,128.0 m²,F,—,08/01/2025,"€795,000","€957,500","62 ROEBUCK RD, CLONSKEAGH, DUBLIN 14",08/01/2025,"62 ROEBUCK RD, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½957,500.00",No,No,Second-Hand Dwelling house /Apartment,
"St Helier, 9 Avondale Park, Killiney, Dublin",A96FF67,14.321,47.45,14321,2847,Detached,5,2,155.0 m²,D2,—,08/01/2025,"€875,000","€965,000","ST HELIER, 9 AVONDALE PARK, KILLINEY",08/01/2025,"ST HELIER, 9 AVONDALE PARK, KILLINEY",Dublin,"ï¿½965,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Balally Park, Sandyford Rd, Dundrum Dublin 16, Dublin 16, Dublin",D16C902,9.377,31.783333333333335,9377,1907,Semi-D,3,2,123.8 m²,D1,—,08/01/2025,"€695,000","€740,000","3 BALALLY PARK, SANDYFORD RD, DUNDRUM DUBLIN 16",08/01/2025,"3 BALALLY PARK, SANDYFORD RD, DUNDRUM DUBLIN 16",Dublin,"ï¿½740,000.00",No,No,Second-Hand Dwelling house /Apartment,
"129 Wesbury, Stillorgan, Dublin, Dublin",A94X273,9.525,32.733333333333334,9525,1964,Detached,4,2,137.0 m²,D1,—,08/01/2025,"€795,000","€800,000","129 WESBURY, STILLORGAN, DUBLIN",08/01/2025,"129 WESBURY, STILLORGAN, DUBLIN",Dublin,"ï¿½800,000.00",No,No,Second-Hand Dwelling house /Apartment,
"276 Larkhill Road, Whitehall, Dublin 9, Dublin 9, Dublin",D09E422,4.767,17.066666666666666,4767,1024,End of Terrace,2,1,76.0 m²,—,—,08/01/2025,"€410,000","€454,000","276 LARKHILL ROAD, WHITEHALL, DUBLIN 9",08/01/2025,"276 LARKHILL ROAD, WHITEHALL, DUBLIN 9",Dublin,"ï¿½454,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 4, 1 Dermot St, Clongriffin Dublin 13, Dublin 13, Dublin",D13W544,9.823,31.85,9823,1911,Apartment,1,1,57.0 m²,C1,—,08/01/2025,"€245,000","€265,000","APT 4, 1 DERMOT ST, CLONGRIFFIN DUBLIN 13",08/01/2025,"APT 4, 1 DERMOT ST, CLONGRIFFIN DUBLIN 13",Dublin,"ï¿½265,000.00",No,No,Second-Hand Dwelling house /Apartment,
"33 Balally Grove, Dundrum, Dublin 16, Dublin 16, Dublin",D16NH93,9.28,30.666666666666668,9280,1840,Semi-D,3,1,98.0 m²,E1,—,08/01/2025,"€654,950","€720,000","33 BALALLY GROVE, DUNDRUM, DUBLIN 16",08/01/2025,"33 BALALLY GROVE, DUNDRUM, DUBLIN 16",Dublin,"ï¿½720,000.00",No,No,Second-Hand Dwelling house /Apartment,
"114 Moyville, Rathfarnham, Dublin 16, Dublin 16, Dublin",D16W271,11.03,39.9,11030,2394,Detached,4,2,127.0 m²,C3,—,08/01/2025,"€535,000","€655,000","114 MOYVILLE, RATHFARNHAM, DUBLIN 16",08/01/2025,"114 MOYVILLE, RATHFARNHAM, DUBLIN 16",Dublin,"ï¿½655,000.00",No,No,Second-Hand Dwelling house /Apartment,
"39 Dundela Park, Sandycove, Dublin, Dublin",A96F5X8,13.658,46.06666666666667,13658,2764,Semi-D,3,1,115.0 m²,C3,—,08/01/2025,"€1,025,000","€1,120,000","39 DUNDELA PARK, SANDYCOVE, DUBLIN",08/01/2025,"39 DUNDELA PARK, SANDYCOVE, DUBLIN",Dublin,"ï¿½1,120,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 Fforster Way, Ballydowd Manor, Lucan, Dublin",K78FY94,13.735,47.1,13735,2826,Semi-D,3,3,99.0 m²,C1,—,09/01/2025,"€399,000","€504,000","11 FFORSTER WAY, BALLYDOWD MANOR, LUCAN",09/01/2025,"11 FFORSTER WAY, BALLYDOWD MANOR, LUCAN",Dublin,"ï¿½504,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Kellys Bay Jetty, Skerries, Dublin, Dublin",K34PX38,32.063,102.38333333333334,32063,6143,Apartment,2,1,60.0 m²,C2,—,09/01/2025,"€265,000","€280,000","4 KELLYS BAY JETTY, SKERRIES, DUBLIN",09/01/2025,"4 KELLYS BAY JETTY, SKERRIES, DUBLIN",Dublin,"ï¿½280,000.00",No,No,Second-Hand Dwelling house /Apartment,
